Time,Detected Intent,Original Transcription,Final Response,Log Count
"2026-01-13 17:57:20","unknown","آئی سی این جی","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '56f1f442-20d0-4196-8651-d76a030f25f2.wav'}","19"
"2026-01-13 17:57:13","unknown","میں۔","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'urdu', 'file_id': '9498fc24-ac29-4976-b71f-dfe2cc5dcfce.wav'}","19"
"2026-01-13 17:57:12","unknown","My balance.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': 'e423c445-e3b9-4548-815b-8bcc43606312.wav'}","17"
"2026-01-13 17:55:24","","","","5"
"2026-01-13 17:54:09","unknown","What's my bank balance?","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': 'ec53c1d8-c265-490d-adff-bfd204aaffba.wav'}","17"
"2026-01-13 17:52:41","send_money","Send money to Mehtab.","{'id': '20546971', 'type': 'send_money', 'amount': 0, 'detected_language': 'english', 'name': 'Mahtab Rauf Baig', 'bankName': 'UBL', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': '5b4c73ea-13c2-4f4f-8275-9dffca7a7e24.wav'}","24"
"2026-01-13 17:52:30","unknown","Hello","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '92a9d560-f82c-41f2-b499-40522b39f29b.wav'}","17"
"2026-01-13 17:51:02","send_money","I want to transfer some money to Irfanawan.","{'id': '198509751', 'type': 'send_money', 'amount': 0, 'detected_language': 'english', 'name': 'MUHAMMAD IRFAN AWAN', 'bankName': 'MCB', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': '601ff351-c13b-49f8-898a-b8c803560503.wav'}","24"
"2026-01-13 17:50:41","unknown","اسکینر، اسکینر","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '3d3e2764-3eec-41b1-aa64-027b913ed54b.wav'}","19"
"2026-01-13 17:49:10","unknown","پی اینی ون","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': 'e8c10cd7-3a2e-4705-a4e7-930efb663754.wav'}","19"
"2026-01-13 17:46:58","send_money","Transfer sixty-seven thousand rupees to Muhammad Niaz.","{'id': '208074312', 'type': 'send_money', 'amount': 67000.0, 'detected_language': 'english', 'name': 'MUHAMMAD NIAZ', 'bankName': 'MEEZAN', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': 'c88a41eb-2d99-44c2-a16a-98f9e5479f7d.wav'}","23"
"2026-01-13 17:46:35","","","","5"
"2026-01-13 17:46:19","send_money","سین نیاز علی سکسٹی سیون تھاؤزنڈ روپیز","{'id': '', 'type': 'send_money', 'amount': 67000, 'detected_language': 'english', 'name': '', 'bankName': '', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': '0d8f1aff-106b-4965-afed-434fb5271bc8.wav'}","24"
"2026-01-13 17:43:11","unknown","اوپن ای چلان","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': 'c60b7a4c-6908-4be3-9f81-8a72ea15fa8d.wav'}","19"
"2026-01-13 17:40:21","send_money","P1502 Rap Master","{'id': '201868391', 'type': 'send_money', 'amount': 0, 'detected_language': 'english', 'name': 'WRAP MASTER', 'bankName': 'MEEZAN', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': 'd4c99282-c459-4e2d-aebc-cb9d681a34ac.wav'}","24"
"2026-01-13 17:33:52","send_money","Send 600 to Amna Bashir Naya Pay account.","{'id': '123413166', 'type': 'send_money', 'amount': 600.0, 'detected_language': 'english', 'name': 'AMNA BASHIR', 'bankName': 'NAYAPAY', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': '1367a92e-3a69-407f-96af-ed70211d6208.wav'}","23"
"2026-01-13 17:33:19","send_money","میں پیسے بھیجنا چاہتا ہوں اسد کو۔","{'id': '', 'type': 'send_money', 'amount': 0, 'detected_language': 'urdu', 'name': '', 'bankName': '', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': 'e06aae04-73c2-437b-b2d2-9d0ca8878c47.wav'}","25"
"2026-01-13 17:32:44","unknown","زمیرو الحسن","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '1f79bde6-4380-4efa-a207-2c8d3f0e3880.wav'}","19"
"2026-01-13 17:32:34","unknown","اوپن ریور علی ہادر","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '89697cf0-7171-4156-911c-e7f600538bf4.wav'}","19"
"2026-01-13 17:32:16","unknown","Hey ay, open ghayoor haider.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '54268ab0-a8d0-4e7c-ade0-4f01c5d36cca.wav'}","17"
"2026-01-13 17:32:07","download_statement","پی ٹین روپیز انٹو مائی مشرق بینک اکاؤنٹ","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '0ef694b5-d26d-413d-8ce9-11e1c1747b4a.wav'}","20"
"2026-01-13 17:31:58","unknown","Hey, how are you?","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '4866f7c6-d674-4130-b7d7-a8a48b7ae435.wav'}","17"
"2026-01-13 17:31:56","unknown","What is my account balance?","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '8c91242c-5050-425b-943f-a8e9c7d2d9a1.wav'}","17"
"2026-01-13 17:31:47","download_statement","Show me my balance, account balance.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '8f4bff6f-4962-4844-9559-410157a9574c.wav'}","18"
"2026-01-13 17:31:37","","","","5"
"2026-01-13 17:31:33","unknown","Show me my balance.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': 'c3e00ce6-6920-497c-aebf-1734b835ded4.wav'}","17"
"2026-01-13 17:31:02","pay_bill","If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': 'c32c6293-4242-419c-8fe3-6be635f3aad1.wav'}","19"
"2026-01-13 17:30:54","pay_bill","If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': 'c15904bc-e138-4168-8220-946d2aee279e.wav'}","19"
"2026-01-13 17:29:32","unknown","How much money I have right now?","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '56e01339-aa67-4b84-b90f-151b9118a299.wav'}","17"
"2026-01-13 17:29:25","unknown","اچھا، اب رکھنا۔","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '4f20a17f-5458-4765-9f98-3f839c17f0cc.wav'}","19"
"2026-01-13 17:29:18","pay_bill","If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '4ecb7b63-39d3-40be-8c62-dc5d7d6d98db.wav'}","19"
"2026-01-13 17:28:52","unknown","پیسے کتن میرے کول؟","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '1ccfd395-f3be-4857-8d9c-24b83185a118.wav'}","19"
"2026-01-13 17:27:50","send_money","عمر کو دس روپے بھیجنا","{'id': '109719895', 'type': 'send_money', 'amount': 10.0, 'detected_language': 'urdu', 'name': 'MIR ABDULLAH OMER', 'bankName': 'SADAPAY', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': 'b6a520fe-174c-4602-a1f3-399bf7862e61.wav'}","25"
"2026-01-13 17:26:54","send_money","بشیر کو دس روپے بھیجنا","{'id': '115316684', 'type': 'send_money', 'amount': 10.0, 'detected_language': 'urdu', 'name': 'AA Syed Bashir Ul Hasan', 'bankName': 'UBL', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': '92687fb5-b191-4db1-af02-c41a1122c073.wav'}","25"
"2026-01-13 17:26:43","send_money","Send eighteen thousand Irfan Bashir.","{'id': '205151392', 'type': 'send_money', 'amount': 18000.0, 'detected_language': 'english', 'name': 'IRFAN BASHIR', 'bankName': 'UBL', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': '725625e5-fb23-4929-8658-6ce99d09414b.wav'}","23"
"2026-01-13 17:26:19","send_money","بشیر کو دس روپے بھیج دو۔","{'id': '115316684', 'type': 'send_money', 'amount': 10, 'detected_language': 'urdu', 'name': 'AA Syed Bashir Ul Hasan', 'bankName': 'UBL', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': '999846d3-24ca-4d20-9d3d-31e3035d0961.wav'}","26"
"2026-01-13 17:26:06","unknown","بھیوا","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': 'f2ae9b70-9e93-40f6-8f37-376f8326f705.wav'}","19"
"2026-01-13 17:25:14","download_statement","Open my bank statement.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '46c66a78-a8be-447a-a96c-5fa8af2e5c2e.wav'}","18"
"2026-01-13 17:23:23","unknown","ایگزین الیکٹرانکس","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': 'd9a2e8ef-0a50-4730-9b86-d0a9260a3fcd.wav'}","19"
"2026-01-13 17:23:14","send_money","Sending payment Muhammad Ahsan 30,000","{'id': '98332104', 'type': 'send_money', 'amount': 30000, 'detected_language': 'english', 'name': 'MUHAMMAD AHSAN', 'bankName': 'UBL', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': 'f0f283e1-8435-46e7-8f2c-174e592b9084.wav'}","24"
"2026-01-13 17:22:40","send_money","جنیید مشتاق کو ایک ہزار روپیہ سینڈ کر دو۔","{'id': '63406521', 'type': 'send_money', 'amount': 1000, 'detected_language': 'urdu', 'name': 'JUNAID MUSHTAQ', 'bankName': 'SADAPAY', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': 'd3dd065c-cc8f-4c85-aa01-70ae7990b925.wav'}","26"
"2026-01-13 17:22:14","send_money","Send money to Kinza Aftab.","{'id': '27734590', 'type': 'send_money', 'amount': 0, 'detected_language': 'english', 'name': 'KINZAH AFTAB KHAN', 'bankName': 'JazzCash', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': 'f7c44093-975d-41a7-b4bb-3694786137c0.wav'}","24"
"2026-01-13 17:18:24","send_money","ابو حریرہ کو پانچ سو روپیہ سینڈ کرنا ہے۔","{'id': '37760998', 'type': 'send_money', 'amount': 500.0, 'detected_language': 'urdu', 'name': 'ABU HURAIRA', 'bankName': 'Alfalah ', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': 'f39d1962-1166-4cd4-9956-b43e193c22b6.wav'}","25"
"2026-01-13 17:18:10","send_money","Send ten rupees to Aamir Ali Khan.","{'id': '209354083', 'type': 'send_money', 'amount': 10.0, 'detected_language': 'english', 'name': 'ADNAN SIDDIQUI', 'bankName': 'JazzCash', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': 'a9c1d3b4-5618-43d6-b188-0acd262d8b61.wav'}","23"
"2026-01-13 17:18:08","mobile_topup","ابو حریرہ کا پانچ سو روپے سینڈ کرنا ہے۔","{'id': '122612168', 'type': 'mobile_topup', 'amount': 500.0, 'detected_language': 'urdu', 'name': 'Zong Abuhurairas operator ZONG-TOPUP', 'bankName': '', 'mobileNumber': '03159184444', 'billType': '', 'billName': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': '512bb1d7-e63a-4fdd-9416-dfbdf0f09def.wav'}","24"
"2026-01-13 17:15:54","unknown","آل اکاؤنٹ ڈیٹیل.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '5cff4560-ac49-4a2c-88b7-a40e05460a31.wav'}","19"
"2026-01-13 17:14:49","","","","5"
"2026-01-13 17:14:44","","","","5"
"2026-01-13 17:14:34","send_money","محمد حمار کے اکاؤنٹ میں پانچ ہزار روپے سینڈ کر دو.","{'id': '', 'type': 'send_money', 'amount': 5000, 'detected_language': 'urdu', 'name': '', 'bankName': '', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': 'aa2f0148-2a45-42cb-b7a2-ad0f4b4d4b7f.wav'}","25"
"2026-01-13 17:14:24","download_statement","اسٹیٹمنٹ دکھائیں","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'urdu', 'file_id': '8d06fda3-39c1-4dc1-b6cf-e48b47f3df4c.wav'}","20"
"2026-01-13 17:14:16","pay_bill","If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': 'e595bc41-0b19-441a-8d77-69f54e16c3c8.wav'}","19"
"2026-01-13 17:09:38","send_money","Send 125 rupees to Zubair Hal Dhobi.","{'id': '173185934', 'type': 'send_money', 'amount': 125.0, 'detected_language': 'english', 'name': 'Zubair hall dhobi', 'bankName': 'JazzCash', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': '5d793e55-4ae8-494f-bcff-cd68cf9f9304.wav'}","23"
"2026-01-13 17:04:46","send_money","سید محمد عباس کے اکاؤنٹ میں بیس ہزار روپے بھیجنے ہیں ایزی پیسہ میں۔","{'id': '41524911', 'type': 'send_money', 'amount': 20000.0, 'detected_language': 'urdu', 'name': 'SYED MUHAMMAD ABBAS SHAH', 'bankName': 'JazzCash', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': '2c596da2-720d-4388-b3e4-9e8ab16a241e.wav'}","25"
"2026-01-13 17:04:10","send_money","ایزی پیسہ میں بیس ہزار روپے بھیجنے ہیں۔","{'id': '74153025', 'type': 'send_money', 'amount': 20000.0, 'detected_language': 'urdu', 'name': 'AFTAB AHMED', 'bankName': 'Easypaisa', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': 'e0a5baa2-716e-4fcb-a7c3-c3e52524beb9.wav'}","25"
"2026-01-13 17:03:34","unknown","اوپن دا","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '63850073-5b55-40ea-9f54-7871dfa1311d.wav'}","19"
"2026-01-13 17:01:37","send_money","دو لاکھ روپے سعید احمد","{'id': '196820612', 'type': 'send_money', 'amount': 200000.0, 'detected_language': 'urdu', 'name': 'SAEED AHMAD', 'bankName': 'ABL', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': 'faa61379-bb23-4b3d-883c-0f01d7a9b0dc.wav'}","25"
"2026-01-13 17:00:15","send_money","Send 35000 to Muhammad Usman payee in MCB Bank.","{'id': '33487225', 'type': 'send_money', 'amount': 35000.0, 'detected_language': 'english', 'name': 'MUHAMMAD USMAN', 'bankName': 'MCB', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': '2c391473-f119-441a-a03e-9f4fb726127f.wav'}","23"
"2026-01-13 16:57:39","pay_bill","امجد حسین کا بل ادا کریں۔","{'id': '', 'type': 'pay_bill', 'amount': 0, 'detected_language': 'urdu', 'name': '', 'bankName': '', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': '36107c44-0cdb-477f-ba8c-2b0530d977e3.wav'}","22"
"2026-01-13 16:53:22","send_money","پانڈے ٹین روپے تو خرم شہزاد حسین","{'id': '150769545', 'type': 'send_money', 'amount': 10, 'detected_language': 'urdu', 'name': 'KHURRAM SHEHZAD MALIK', 'bankName': 'Easypaisa', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': '744a44aa-e158-4dea-85fc-13ed6793b7fc.wav'}","25"
"2026-01-13 16:51:56","mobile_topup","If there is no speech in the audio, return empty text.","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': '2616e4f4-3297-47c5-8eb8-d5d17ec12338.wav'}","19"
"2026-01-13 16:51:11","send_money","سینڈ ٹین روپیز ٹو خرم سجاد۔","{'id': '209025596', 'type': 'send_money', 'amount': 10, 'detected_language': 'english', 'name': 'KHURRAM SAJJAD HUSSAIN', 'bankName': 'Easypaisa', 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'file_id': 'ef67d2f0-bf95-43fd-b383-ffa702e09b12.wav'}","25"
"2026-01-13 16:50:56","unknown","پوری آدھ لے جے۔","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': 'c4b91dce-e9db-4f15-a342-fff559d7de88.wav'}","19"
"2026-01-13 16:50:22","unknown","پہلے","{'type': 'unknown', 'id': '', 'name': '', 'bankName': '', 'amount': 0, 'billType': '', 'billName': '', 'mobileNumber': '', 'statement_period_month': '', 'statement_period_year': '', 'detected_language': 'english', 'file_id': 'a6c8cea1-5aee-4ba8-8d67-9e8c7edc6c14.wav'}","19"
